-1002,999,-2000,-2000,-2000,-2000,-999,-1998,10000
2,-2,2,-4,2,-4,-4,-9989,10000
9994,10000,9998,10000,-2,-6,-9990,-2,1
2,-6,10000,-4,-2,4,4,-9993,10000
-8,10000,-10,4,-4,10000,10,-2,13
10000,9996,4,9998,-10000,9994,4,2,1
-4,-2,-2,2,6,10000,6,6,1
-1668,10000,1666,-3334,-1666,-3334,10000,-3331,10000
3,-2496,-2504,-2500,-2502,6,-2499,2497,10000
-3334,-3332,3332,2,3332,-5,-3332,-3330,10000
-4,-2,-2,-4,-4,-2,-9987,4,10000
9998,-2,-2,-10000,9996,-2,10000,9998,7
-10000,10000,0,10000,10000,-9998,9998,2,9999
9994,9998,9996,2,9996,2,-10000,9998,1
2,-6,10000,4,-6,-4,6,2,9
-2,-10,-6,10,6,4,-10,-8,25
9996,10000,-2,-10000,10000,9998,9998,0,3
-2,10000,10000,-2,-2,10000,-2,-9993,10000
10000,-6,-2,10000,-4,-2,10000,-9991,10000
