16651, -24974, 16651, 8325, 8323, 16649, 16651, 8325, 0
33299, 33299, -2, -33299, -1, -33297, 33299, 33298, 33300
33299, 16650, 33299, -16649, -16649, 33299, -33299, -33299, 66597
-1, -2, 33299, 33297, -33297, -33298, -33299, 33298, 66598
22200, -33299, -33299, 11100, -33299, 11100, -33298, -11100, 110996
-33299, 1, -2, -33299, 33297, -33298, 33297, -33299, 99898
7, 8, 7, 24974, -4, -2, -4, 3, 0
16649, -16651, -33299, -16650, 16650, -16649, -33299, -16648, 99898
8, 24974, 3, 6, 6, -4, 1, -5, 0
-2, -9, -2, 9, 8, 1, 8, 24974, 3
-16650, -16651, -33299, 16651, -16648, -16650, 33299, 16650, 66599
-1, -2, 33299, 33298, 33299, 33299, -33297, -33299, 33300
-16652, 33299, -33299, 16651, 16652, -16648, -33299, -16647, 83246
3, -1, -1, -4, 24974, 24974, 3, 4, 0
-8325, 16651, 16649, 16650, -24974, 24974, 8324, -8323, 16648
-1, 24974, 24974, -12485, 12489, -12488, 24973, 12487, 0
-5, -24974, 2, -7, -4, -8, -1, -7, 24997
-16648, 16650, -16651, -33299, -33299, 33298, -16650, 33299, 83248
