19978, 1, -19979, -3, 19978, -1, -19973, 19976, 19977
-8, 1, -6, -15, -8, -24974, 24974, -8, 25003
-33299, -33299, -33299, 33298, 0, -1, -33299, -33299, 133197
-2, 19979, 19979, 19977, 1, -2, -19979, -1, 5
-1, -24970, -1, -2, 24974, 24974, 24972, 24974, 0
19979, -9987, -9990, -1, 19979, -1, 9988, 19979, 0
-49949, -49949, 49949, -49949, 49948, 49949, -49949, -1, 149848
10, 3, 24974, -9, -10, 6, -6, 2, 13
11, 8, -9, 14, -1, -2, -4, 19979, 0
19978, -3994, 15983, 19979, 3996, -3997, 7991, -11988, 0
-24974, -2, 1, -24970, -24974, -24974, 24972, 3, 74920
-5, -4, -1, 3, 7, 7, 19979, 7, 0
-4, 1, -2, 24974, 6, 9, 24974, -4, 0
-49949, 49949, -49949, -49949, -49948, 49949, -49949, -1, 199796
24974, -12484, 1, -12485, -12486, 24974, 12489, 12488, 12481
