24974, -24974, -12485, 12488, -12487, -24974, -12487, 1, 62433
-9986, 9988, 9991, 9985, -1, 19979, -9989, 9989, 2
-24974, 24974, -24974, 12488, -12487, -12485, -12489, -1, 62436
0, -2, -13, -2, 1, 13, 12, 19979, 3
1, -9993, -2, 19977, -9989, 9990, 19979, 9986, 5
-2, 19979, -3, 8, 1, 10, -19979, -4, 19976
-9994, -2, 19979, 10, 9983, 19975, 9987, -9988, 3
19978, 2, 9991, 19979, -9986, -19975, 9988, 1, 9982
2, -24974, 24974, -24974, 24970, 24973, -1, -24972, 49947
-2, -2, -5, -4, 19979, -5, 4, 1, 12
-2, 1, 2, -19979, 19979, -1, 19977, 19979, 3
9991, 19979, 9993, 9987, -9985, 9988, -9994, 8, 0
-12486, -12485, 24974, -24974, -24974, -1, 12488, -24974, 74920
33299, 33299, -16650, -33299, 33299, -33298, -16649, -16649, 83246
