-33299, 33299, -16648, -16651, -16650, -33299, 16650, -33298, 116546
-5, 1, -2, -24974, 24974, 5, -3, 4, 24977
16651, -8324, 16650, 16649, -8323, -24974, 24974, -8325, 24972
12486, 12486, -24974, 1, 24974, 12487, 24974, 24974, 0
24970, -24974, -24973, -24972, -1, 24974, -2, 24974, 49948
4, -3, -3, -3, 4, 2, 24974, -4, 7
-33299, -16651, 16648, 33299, 33299, 33299, 16650, -16649, 33300
-16648, -16649, 16651, 33299, -33299, -16650, 16651, 16650, 49947
-24974, -24971, -24974, -24973, 24974, 24970, -3, 24974, 49951
-33299, -33299, 33299, -16649, -33299, 16649, -16650, -33299, 133196
-24974, 1, 12489, 12487, -24974, -24974, -12490, 12485, 62437
12484, -12488, -12490, -24974, -1, 24973, 12486, 12490, 24979
24974, 12488, 12485, 12486, -3, 12489, -12486, -12486, 1
5, -33299, 4, -5, 5, -5, 2, -3, 33305
-1, 24973, 24971, 4, 2, -24974, -24972, -24970, 49943
-8325, -8323, 1, -8326, 24974, 16650, 16649, 24974, 0
-16650, 16648, -16651, 33299, -33299, 16651, 16651, -16650, 49951
24974, 24974, -1, 24971, 2, -24974, -2, 24972, 3
