-3, -2, -33299, 3, -1, 4, -33299, -33299, 99897
24974, 24974, -8325, -8325, 16650, 24974, -8324, 16649, 0
-8323, 16651, -8324, -24974, 8327, -8324, 24974, 16650, 24971
2, -3, 2, -5, 24974, 24974, 6, 4, 0
24973, 24974, 8326, 16650, -24974, 8325, 8323, 8324, 0
-16648, -16651, -16650, -16652, -16653, -16647, -33299, 16649, 99901
-5, -33299, 5, 2, 5, -4, -5, -3, 33309
24974, 24974, 24969, 24974, -24970, 3, -2, -2, 0
-33299, 33299, -33299, 1, 33298, -33299, 1, -33299, 99897
99899, -99899, 99899, -99899, -99899, 99899, -99899, -99899, 499494
-12487, 12484, 24974, 12486, -12488, -12485, 12488, 12483, 12489
-1, 1, 1, -49949, 1, -49949, -49949, -49949, 199795
1, -33298, -33299, -33299, -33299, -33299, -33297, -33297, 199789
-33299, 16649, 33299, -16650, -16649, 16650, 33298, -33299, 66598
33299, -16650, 16649, -33299, -16649, -33299, 33299, -33298, 99896
6, -11, -11, 5, 5, 10, 24974, 4, 7
24973, -1, 12491, 12492, 12485, -12491, -12489, 12483, 7
-16649, 16651, -16648, 33299, 16651, 33299, -16649, 16650, 16647
4, 5, 1, 24974, -6, 6, 3, -2, 1
