19979, -19979, -19979, -2, 1, 19979, -19979, 2, -1, 19977, 39961
-9, -4, 16649, 8, -9, 17, 22, 12, -2, 5, 0
11, 3, -4, -8, -8, 1, 16649, -16649, -6, -3, 16666
-3, -12, -12, -5, 1, -16649, -14, -5, -2, -15, 16700
16649, 2, -7, 6, -5, -7, 7, 6, 3, -4, 13
7, -11, -2, -1, -19979, -8, -14, -11, 4, 13, 20011
-4163, 1, 12485, -4162, -4160, 12487, 16649, -8329, 16649, 4160, 4165
2, -8, -4, 8, -1, -14, -19979, -19979, -15, 12, 39984
-16649, 2775, -1386, -1387, 5550, -11099, -16648, -5550, 15262, -13874, 49944
-24974, -24974, 6, 24974, -1, 24974, -3, 4, -7, -2, 49953
5549, -5548, 16649, -2, -1, 11100, 16647, 16648, -16649, -5548, 11099
-19979, -3, -19979, 5, 7, -19979, 5, 7, -1, -3, 59936
-6, 16649, 16649, -3, -1, -16647, -16642, 2, -4, -16647, 33301
-2772, 5550, -13878, 2774, 1, 13876, 16649, 11098, 11100, 5552, 0
13875, 1, -2776, -2775, 13875, -8327, 16649, 8322, 13873, -2774, 3
12486, 4160, 2, -1, 8328, 8326, -16649, 4164, 16648, 8322, 0
-19979, 1, -6, -8, -19979, -5, 5, 19979, 4, 2, 39967
10405, -2080, 8323, 6243, 6244, -10407, 16649, 1, 8326, -4162, 0
-19979, 1, 6, -19978, 19978, -2, 19977, -19973, -19979, -2, 59934
5, 2, -15, 5, 5, 15, 16649, -18, -18, 2, 31
-11097, -5545, -1, -2, -5556, -11101, -16648, 5552, 16649, -5549, 38849
-8327, 1, -8323, 8326, -8329, 8323, 16647, -16649, -8320, -1, 33300
16640, 1, 2, 6, 16648, -16647, 16649, -4, 16644, 8, 1
4, 4, 2, 19979, 1, 19977, -19978, -19975, -19978, -19977, 59929
-19979, 19979, -19979, -2, -1, 19975, -3, 19972, -19979, 19977, 39964
39, 19979, 42, -1, -1, -46, -84, 19979, -19979, 43, 20026
-2, -6, 2, -10, 1, 6, -5, -10, -19979, 19979, 20000
