-12488, 24974, -12488, 24974, 12487, -12487, 12486, -24974, 24973, -24974, 62437
-33299, 33299, 33299, 16650, -33299, 33298, 33299, -16649, 33299, -16649, 66597
33299, 33299, -33299, 16650, -33299, 16649, 33299, -16649, 33299, -33299, 83247
-33299, 33299, -33299, 16650, 16651, 16650, 16649, -16649, -16648, -33299, 99895
-33299, -33299, 1, 33299, 33297, -33297, 33298, -33299, 33299, 33299, 99895
-1, 19979, -4, -2, -4, 8, -10, 10, -11, -11, 31
-19979, 6, 1, -19979, 3, -3, 5, 2, 19979, 19979, 39953
-33299, -2, -1, 33299, -33299, -33299, -33299, 33298, 33299, 33297, 99900
-6, -2, 1, -19965, -2, 19969, 19974, 19973, 19979, 19979, 0
-1, -24974, -24974, -1, 3, -24974, -24974, -5, -7, -24974, 124876
33299, -33299, -33299, -2, 3, 2, 33299, -3, -1, -33299, 99899
-1, -24974, 4, -2, -24974, -24974, -24972, -24970, -24973, 24974, 124866
-24974, -24974, 5, 1, -7, -8, -14, 14, 10, -14, 49976
19979, 19979, 19979, 19977, 19979, 2, 1, -5, 1, -19974, 0
-24970, 1, -24974, -24974, -2, 24973, -24974, -24974, 24972, 24974, 99894
-24970, 2, -24974, 1, -24974, 24974, 24974, -24974, -24973, 24972, 99891
24974, -24974, 1, -24974, 2, -4, 5, -24974, 5, 2, 74920
-1, 2, 33299, -33299, -33299, -33297, 33299, 33298, -33297, -33299, 133193
-12489, 12487, 24974, 24974, -12489, 12488, -12488, -12485, 12486, 24974, 24977
-24974, 4, -24974, -24973, 2, -24974, 24974, 24970, -1, 24972, 74922
8, -3, 19979, -1, -3, -13, -8, 13, -15, 13, 27
-1, 2, -33299, 33299, -33299, -33299, 33297, 33298, -33297, -33298, 133194
7, 1, -19979, 4, 1, 7, 19979, 9, 3, 6, 19969
-1, -24974, -2, -24974, -2, -5, 5, -4, 24974, -24974, 74930
33299, 2, -33299, -33299, 1, -33299, 33299, -33298, -33299, -33297, 166492
9991, -9992, 3, 19975, -9987, 9990, 19979, 9992, 9988, 9986, 0
16648, -33299, -16650, -33299, 33299, 16650, 33299, 16651, -33299, -33298, 116546
8324, -8325, 24974, 24974, -8324, 16650, -24973, -24974, 24974, 24974, 41622
-24974, -24974, -24970, 1, 2, -24974, -24973, 24974, 24972, -24974, 124865
-8324, 24974, -8325, 8324, 24974, -16650, -24974, -24974, -24973, 24974, 83246
-7, 19979, 19979, -3, 2, -19979, -14, -15, -14, -15, 20030
33299, -33299, -33299, 33299, 2, -33297, -33299, -33299, 1, -33298, 166492
-33299, -33299, -2, 1, 33299, 33299, -33299, 33298, -33297, 33299, 99897
2, 1, 6, 10, 19979, 13, -13, -12, 4, -8, 19
2, 1, 2, -24974, -24974, 5, -5, -5, -24974, -4, 74930
4, -24974, 2, -24974, -1, -24973, 24972, -24974, 24974, -24970, 99892
24974, 24974, -12, -12, 1, -25, -25, 14, 24974, -24974, 25022
24974, 24974, -8324, 24974, -8324, -24974, 16650, -8325, 24974, 8325, 24973
5, 19979, 19979, 19979, 1, -6, 6, -3, -2, 3, 4
-16650, -33299, 33299, -33299, 33299, -33299, 16649, 16650, 33299, -16649, 99897
19978, 5707, -2855, -8562, -8562, 19979, 19978, 14272, 2854, 19979, 0
-33299, -33299, 33299, -2, -1, 33297, 33298, -33299, -33299, -33299, 133199
-4995, -4993, -1, 19979, -4995, 19979, 14984, 19978, 14986, -4995, 0
1, 5, 19979, 19979, 19979, -2, 3, 6, -3, -6, 4
33299, 2, 1, -33299, -33299, -33299, -33299, 33298, 33298, 33297, 99897
-24974, -1, -24974, -6, 24974, 2, -4, 5, 7, 24974, 49951
-16650, -33299, -33299, 33299, -16648, -16651, 16651, -16649, -16650, 16649, 116547
-2, -1, 24974, -2, 24974, 5, 4, -24974, -24974, 5, 49947
19979, 1, 5, 3, 19979, 11, -9, 2, 11, -7, 4
19979, 7, 19979, 19979, 2, -5, 4, -8, -3, -4, 10
6, -2, -24974, 3, -24974, 6, 4, -1, -5, 5, 49949
33299, 2, -33299, -33299, 33299, 33297, -33299, -33298, -1, 33299, 99897
-24974, 24974, 24970, 1, -24974, 24972, -24974, 24973, -4, 2, 49952
-12, -12, 12, 4, 19979, 43, -35, -19979, 43, -43, 20034
24974, -1, -1, 24974, 3, -4, 3, 24974, 24974, 5, 0
19979, 19979, 9992, 2, 19979, 9987, -9989, 19977, -9990, 9988, 0
24974, -1, -24974, -12488, -24974, 12486, -12488, 12487, 24973, 24974, 49951
