-19979, 16649, 19979, 19979, -19979, 3330, 19978, -16649, -9989, 3330, -3328, -9990, 59935
24974, -12486, -24974, -12488, -12485, -12485, -24974, 12487, 12487, -12488, -24974, -24974, 137354
-1, -15, -19979, 19979, 18, 19979, -19979, 13, -18, -4, -6, -6, 39989
16650, -33299, -33299, 33299, 33299, -16648, 16651, 16650, 33298, -33299, -33299, 33299, 116545
11892, 14270, 9515, 16649, 4758, 16649, -11891, -9514, 9514, 2379, 2377, 7134, 4756
24974, -2, 24974, -2, 24974, 24974, 24974, -24974, -24974, 1, -1, 0, 49950
-8329, -8327, -8320, -8327, -8329, 8329, -16649, 16649, -8328, -8329, -8321, 16648, 66610
-19979, -9990, -19977, -9990, 19978, -2, 9985, -19978, -19975, -1, 19970, 5, 79913
-1, 16649, -23, 16649, -16649, 4, 4, -20, -22, -16649, 4, -2, 33342
-19979, 13319, -13321, 13320, 6658, 6660, -13321, 19979, 13321, -6660, -13321, -13321, 59944
-1, 19976, 19978, -19979, -2, -3, -19979, -19979, -19978, -3, 19977, -19979, 79924
2, -19979, -19975, 19979, -19979, -2, 19975, -19971, -19976, 19979, 1, -6, 79911
8327, 16648, 16649, 8328, 8321, 16649, -8328, 1, 8322, -8328, -8328, 8328, 8335
-24974, 24974, 8325, -24974, -16650, 16649, -8325, -24974, 24974, 8324, -24974, 24974, 99897
1, 19979, -2, -19976, 19978, -19979, -19979, 19979, -19978, -3, 19977, -19972, 79910
-6242, -24974, -24974, -18733, 24974, -6241, 18733, 18732, -12487, -24974, 12487, 24974, 93651
-16649, 13, 22, 13, 16649, -16649, 16649, 8, -5, 5, 2, -1, 33281
-19979, -19979, 9993, -19979, 19978, 9989, -19979, -19979, -9990, -1, 9986, 1, 89907
-16650, -33299, 33299, -16648, -16651, -33299, -16650, -33298, -33299, 33299, 33299, 33299, 166495
-24974, 4, -5, -4, -24974, 24974, -24974, -5, 24974, 2, 2, -1, 74931
2, -16645, -8, -16645, -8, -1, 16647, 16648, 16648, 4, 16641, 16649, 16658
-1, 4, -7, 24974, 6, -4, 6, 24974, -24974, -24974, -2, 24974, 49954
-2, 19979, 6, -7, -19979, 2, -7, 7, -19979, -2, -19979, -1, 59948
-8, 16, -23, 16649, -20, 8, -22, -16649, -16649, -2, 4, -1, 33350
19979, 19979, -19978, -6661, 19977, 1, 6659, -19978, -13318, 6657, -19979, -13320, 73255
5, -15, -17, -15, -16649, -5, -19, 16649, -16649, -5, -1, 3, 33355
-1, -24972, -24974, -24971, -24972, -24974, 2, -24971, 24972, -24974, -24974, 24974, 174809
19979, -1, 19979, -19979, -19979, -2, -6, -4, 5, 3, -6, -6, 39976
0, 24974, -24974, -24974, -12487, 12486, 24974, 12488, 24974, -24974, 12487, -24974, 87409
1, 24974, -1, -3, -5, 24974, 24974, -24974, 4, 24974, -24974, -3, 49954
16636, -16646, 16635, -16646, 16649, -16649, -14, 16649, 13, 1, -3, 1, 33309
-19979, 19979, 22, -23, 1, 19979, 22, -23, 21, 4, -3, 2, 20004
-10, 16649, -27, 19, -23, -9, -16649, -16649, -26, 2, 5, -1, 33366
2, -19978, 6, -19979, 19977, 19979, -19979, -19979, 19979, 1, 0, -19973, 79909
9990, -19979, 19977, 9990, -9989, -9990, -9988, -19977, -9990, -9990, -9989, 19979, 79914
-19975, -19979, 19977, 19979, 19979, 2, -19979, 19974, -4, 1, 19979, -5, 39963
16649, 11892, 14269, 11892, 14268, 16649, 2378, 2381, -11893, -4756, 2379, 2380, 0
-2, -5, -5, 24974, 4, -2, -24974, -4, 24974, 24974, -24974, 1, 49960
16649, 16649, 16649, 16649, 16647, -2, -16649, 1, -16649, -2, -1, -2, 16656
2, 5549, -16649, 5548, 4, 5545, 16649, 11100, 16649, 11101, 16649, 16649, 0
13, 20, -10, -20, 19979, 19979, 19979, 22, -22, 4, -1, -3, 33
-33299, -33299, 16649, 33299, -16651, -16650, -33299, -16649, 33299, -16648, -33299, -33299, 199794
-2, 24974, -9, -4, 24974, -1, -24974, -24974, 4, -24974, 24974, 6, 74928
-33299, -33299, -33299, 33299, 2, -1, 33299, -33299, 33299, -1, -33299, -33299, 199793
19979, 19979, 7, -2, 19979, -19979, 6, -19979, 7, -2, -1, -2, 39957
