1, -33299, -33297, 33296, -33299, 33299, -33298, -2, 33299, -33299, 33299, 33299, 133195
16648, -33299, 16651, 33299, 16651, -33299, -16647, -33299, 16651, -33299, -16646, 16647, 133195
-6, 9, 3, 9, -5, 4, 2, 16649, 8, 9, 7, 9, 0
-2, -2, -3, -3, -1, -3, -19979, 19979, 3, 3, -19979, 3, 39968
-4, 19979, 19978, 19979, -2, -2, -19979, -19979, 19978, 1, -19975, -19975, 59937
-6661, -19979, -19979, -19979, 13322, -1, -19979, -6659, -13319, -6657, 13320, -13318, 106552
-1, 7, -5, 24974, -7, 3, -24974, -24974, -5, 3, 24974, 24974, 49958
24974, -12487, -24974, -12487, -12486, -12486, 24974, 24974, -12488, -12487, 12489, -12485, 87406
1, 24974, -6, -24974, -24974, 5, 6, -6, -24974, 24974, -2, -2, 74931
24974, -24974, -24972, 24974, 24974, -2, -24973, -24973, 24974, -1, -4, -24970, 99895
2, -4, -1, 24974, 6, 24974, 24974, 24974, -24974, 3, -5, -5, 24982
-1, -33299, -33299, 2, 33298, 33299, -33299, 33299, 33297, -33297, -33298, 33298, 133194
-24974, 12487, 12489, -24974, 12486, -12488, -12489, 24974, 12487, 12485, 24974, 24974, 49951
3, -2, 1, 24974, -24974, -3, -3, -24974, -24974, -2, 3, 24974, 74928
33299, 16650, -33299, -16649, -33299, -33299, 16649, -33299, 33298, 16650, -33299, -33299, 183144
-15539, -8879, -19979, 4440, 17759, 2220, -11100, -19979, -6661, -2218, 19979, 19979, 64376
-1, 33299, -33299, -33299, 33299, 2, -33298, 33299, -33299, -33299, -33297, 33297, 166493
24974, 12488, 24972, -12486, -24974, -2, -24974, -24974, -24974, 1, 12487, -24974, 112384
8, -6, 16649, -7, 8, 7, 16649, 3, 2, 4, -16649, -16649, 33301
5, -24974, 24974, 24974, 5, -24974, 4, -2, -5, 24974, -1, -2, 49952
-9989, 9990, 19979, -19979, 9989, -9991, -9988, -9990, -19979, 9991, -19978, -19979, 99894
-2, -4161, -4161, -4160, -4163, -2, 16649, 12488, 12487, 12489, 16649, 16649, 0
-12486, 12489, -24972, -24974, 24972, 2, 12488, -12485, 12489, -24974, -12487, -24974, 112378
19978, -9991, 13320, 19978, 19979, 6659, 13320, 19979, -13319, 6660, -3329, -3329, 9989
-8, 11, 6, 10, 19979, 13, -5, -3, 19979, 1, 19979, 19979, 0
-16650, -16649, -33299, 33299, -16651, 16648, -33299, 33298, 33299, -33299, 16651, 16651, 116548
-24974, -24974, 12486, 24974, -12488, -12488, 24974, -12487, 12487, 12487, 12488, 24974, 62437
-1, 12, -12, -10, 16649, -12, -16647, 16638, -16636, 16649, 16649, -16649, 33319
-2, 24974, -7, -24974, -7, 6, 24974, -24974, -7, 24974, 3, 3, 49962
-19979, -19979, 6, -19979, 9, 9, -19979, -2, -19979, -2, 4, 1, 99889
-2, -24974, 24974, 24974, -24972, -3, 12485, 12487, 24971, 24974, -12486, 12488, 37463
1, -24974, -24974, 24970, 24973, 24974, -24974, 24973, 2, 24972, 24973, -24973, 74921
-2, 19979, -5, 4, -19979, -2, 19979, -19979, 5, 1, -5, 5, 39966
-5, 12, 13, -19979, -2, -3, -19979, -11, -19979, -4, -19979, -10, 79936
3, -19979, -19979, 3, 9, 1, -19979, -2, -7, 19979, 19979, -8, 59944
2, 7, -5, -7, -4, 7, 9, 9, 6, 8, -3, 19979, 8
-24974, -5, -24974, -5, -24974, -1, -24974, 24974, 8, 4, -3, -6, 99907
-6, 12, 11, -24974, -24974, -3, 12, -24974, 24974, 2, 8, -24974, 99891
8, 10, -4, 19979, 15, -2, 12, -19979, -8, 1, -12, 12, 19989
4, 16649, 3, 16649, 16649, 2, -9, 9, -7, -1, 9, -9, 15
2, 12489, -12487, 12488, -24974, -24974, 12485, -24974, -12486, -24974, 12488, -12488, 112383
-33299, -16651, 16649, -16651, 16649, -33299, -16650, -33299, 33299, -16648, 33299, -33299, 166497
19979, -19979, -4, -19979, -5, -1, -5, 6, 6, 3, 5, 2, 39966
-24974, 24974, 2, 24973, -24973, -24973, 1, -24972, -24974, -24973, 24974, 24973, 124865
-24974, -3, 2, 24974, 24974, -24974, -4, 4, -3, 1, -5, -5, 49962
1, 33299, -33299, -2, 33298, -33299, -33299, 33298, 33297, -33297, -33298, 33298, 133195
1, -4, -24974, 4, 24974, -24974, -24974, 2, -5, -2, 4, 24974, 74927
1, 24970, -2, 24969, -24974, 24974, -24974, -24973, 4, -24974, -24972, -24972, 124867
24974, -5, 8, 4, -24974, 1, -8, -7, -24974, -2, -4, 24974, 49965
-1, 19979, 19979, 19979, -9986, 2, 9991, 19979, 19978, -9989, -19979, -19979, 39955
7, 6, 19979, -19979, -5, -2, -7, -4, -19979, -4, -1, -19979, 59952
16649, 16645, 16647, 16645, 16647, 16648, 1, 3, -16647, -2, 3, 3, 0
