-1, 6, -24974, -4, -8, 5, 24974, -7, 7, 4, 24974, -8, -8, -2, 8, 24974, 25003
9, -8, 9, 3, -5, -24974, 24974, -24974, -2, 6, 24974, 4, 24974, -9, 24974, -24974, 74935
-5, 24974, 24974, -24974, -4, 24974, 1, -6, 6, 6, 2, -24974, 24974, 3, -6, 24974, 49962
-24974, -5, -24974, 6, 4, 1, -6, 6, 2, -24974, 24974, -3, 24974, -24974, 4, 6, 99903
-24974, 12489, 24974, -24974, 24974, 24973, -12485, 12486, 12488, -12488, 24974, -12487, -24974, -3, 24974, -24973, 112384
-24974, -24972, 24973, 24974, 24972, -24974, 24973, 24972, 24974, 2, 24974, -1, -3, 24971, -24973, -24971, 99894
12489, -12487, 24971, -24971, 12485, 12489, -12488, 24971, 12487, 24974, 12486, -24974, -24974, 24974, -3, -24974, 99897
-24974, -24974, 24974, 24974, 24974, -24973, -24971, 24969, -24968, -24974, 3, -24974, -4, 24974, 24971, -2, 149840
24974, -5, 4, -3, -24974, -24974, -1, 6, 2, 24974, 24974, 6, 24974, 24974, -24974, -24974, 99898
2, -6, -24974, -24974, 4, -24974, -7, -24974, -24974, 24974, -8, 24974, 24974, -6, 3, 7, 124887
24974, 24974, -24974, 2, 4, 16654, -16651, 1, 24974, 24974, -24974, -16654, -24974, -16649, 16653, 16654, 108221
24971, 1, -24973, 24973, -24972, 2, 24973, -3, 24974, 24973, -24974, -24974, 24974, -24971, -24974, 24972, 124867
33299, 33299, -16649, 16649, 33299, -33299, -16650, -33299, -33299, -1, -33299, 33299, 33299, -33299, 33298, -33298, 199794
-2, -4, 6, -7, 4, 6, -24974, -7, 1, -7, -6, 24974, -7, 24974, -5, 6, 25011
12486, 24974, -1, 24974, -24974, -12487, -24973, 24973, -24974, 1, 24974, 24974, -24974, -24974, -24974, -12488, 149845
13, 5, -24974, 6, -14, -24974, -24974, -14, -24974, -24974, 24974, 7, -12, -14, -14, 24974, 124919
-24974, 24974, -24972, 24974, 24974, 16651, 16649, -24974, 16651, 8325, -2, -16650, 8324, 24974, -24974, 8323, 91572
12487, -12487, -24974, 24974, -12485, 12486, 4, -24974, -24974, -24974, 24974, 12490, -12487, 24970, -12484, -12489, 137354
-2, -19979, 13, -5, -13, -10, -19979, -19979, 4, 11, 3, -12, 11, 19979, -19979, -19979, 99922
-8324, 24974, 16649, 16650, 8325, -16650, -16650, 24974, -24974, -24974, -24974, -24974, -24974, -16650, 8325, -24974, 183144
-6, 24974, -4, 8, 10, 2, -24974, 24974, 7, -5, -24974, -1, 24974, -24974, -9, 9, 74936
16650, 33299, -16651, 33299, -16648, 16648, -33299, -33299, -33299, 33299, 16651, 33299, 16650, -16647, 16651, 33299, 116545
-3, 5, 24974, -10, -9, 24974, 24974, 24974, -8, -6, -11, -4, -9, -11, -24974, -24974, 50005
1, 5, 24974, 24974, 24974, -24974, 2, -5, 4, 24974, -6, -3, -6, 24974, -24974, -24974, 74935
-16648, -16651, 33299, -16650, 33299, -16651, -33299, -33299, -33299, -16650, -33299, -33299, 33299, -16650, 33299, 33299, 233096
-24972, -24971, -24973, -3, -24974, -24973, -24974, -24974, 24974, -24974, -24973, 24974, -2, -24974, -24973, -1, 249737
-24974, -24974, -24974, -24974, 12487, 24974, -24974, -24973, -12485, 24974, 24974, 1, -24974, 24973, -12488, -12489, 187305
4, 5, 24974, -2, 1, -2, -24974, 4, 5, 24974, -24974, -24974, -24974, -5, -5, -3, 99907
-24972, -3, -4, -24974, 24974, 2, -24971, -24971, -24974, -24970, 24972, -24974, -24974, 24969, 24974, -24971, 199784
-2, -4, 5, 24974, -5, 5, 1, 24974, 5, -2, -24974, 24974, 24974, -5, 5, 5, 24986
10, 24974, -11, 9, -4, 10, 24974, 2, 10, -24974, 1, 24974, -24974, -24974, 9, 11, 74925
24974, -24974, 5, -24970, -24974, 1, -3, 24972, -24973, 24974, 24969, 24973, -24969, 24973, -24974, -24971, 149834
-8, 10, 2, 4, -24974, -6, -10, -10, -1, 10, 24974, 8, 9, 24974, 24974, 24974, 24997
24974, -24974, 1, 24973, 24974, -24974, 24970, 24974, 24974, 24973, 24972, -4, -24974, -24974, 2, 24973, 74926
-24974, -7, 11, -24974, 24974, 8, 24974, -24974, 6, -9, -24974, -24974, -4, 9, -1, 6, 124879
-3, 5, 5, 4, -4, 24974, -24974, -24974, -3, 24974, 24974, 24974, -24974, -1, -2, 5, 74929
-1, 11, 8, 3, 6, 24974, 24974, -9, -6, 24974, -11, -10, -9, -24974, -24974, -11, 49993
6, 2, -8, -6, 24974, 24974, 8, 5, -8, 8, 7, -4, -24974, 24974, 7, 3, 24990
22, 24974, -24974, 13, -23, 29, 35, -30, 24974, -24974, 35, 6, -24974, -24974, 16, -30, 99943
-24974, -24974, -24974, -6, 5, -24974, -2, 24974, 24974, 24974, 8, -24974, 7, -4, -8, 3, 124880
-19979, -4, -8, -5, 19979, 4, 19979, 6, 19979, 7, 19979, -3, 1, 19979, -7, -6, 20003
-6, 24974, 3, -24974, -4, 3, -24974, -24974, 2, -5, -24974, -1, -5, 6, -24974, -24974, 149858
24974, 24974, 24974, -24974, -2, -24974, 3, 3, 24974, 1, -3, 24974, -24974, 3, -24974, -2, 99899
-24973, 16650, 8323, -24974, 24973, -16646, 16647, -24974, -24973, 8324, 8327, 24974, 24974, 8328, -24974, 24974, 116540
24974, -1, -24974, -1, 24974, 2, 24974, 24974, -3, -3, -4, 24974, 24974, 24974, -4, -24974, 49959
-33299, 1, -33299, -33298, -33297, 33299, -33299, -33299, -33297, -33299, 33299, 2, 33298, 33299, 33299, 33299, 233088
-24974, 3, 24974, -1, -10, -24974, 24974, 10, -8, -24974, 7, -5, 10, -6, -24974, 10, 99915
24974, 4, -24974, -24974, -24974, -6, 24974, -11, -1, -8, 24974, 24974, 6, 2, -24974, 9, 99910
-24974, -7, 24974, 7, -6, -6, 2, 24974, 24974, -4, -4, 24974, 1, -7, -7, 24974, 25007
-6, -24974, -5, 24974, 5, 6, -24974, 24974, -2, 24974, 6, -4, -24974, -1, -3, 6, 74936
16650, -33299, 16651, -16648, 33299, 33299, 16650, 33299, -33299, 16651, -33299, -33299, 16651, 33299, -33299, 33299, 149844
-4, 3, 3, 33299, 2, 33299, -4, 1, 4, 2, -33299, 4, 33299, -33299, 33299, -33299, 99900
-24974, 24974, 16649, 8326, -8325, -24974, 24974, 8324, -8325, 16650, 16650, 24974, -24974, 24974, 8323, 24974, 66599
-16651, -16650, -16649, -33299, 16648, 33299, 16651, -16651, -33299, -16651, -16650, 33299, -16650, 33299, -33299, -33299, 216449
-4, 24974, 7, 24974, 6, -24974, -24974, -24974, -24974, 7, 24974, 6, 3, -2, -24974, -5, 124871
3, 7, -8, -24974, -4, -24974, -24974, 2, -24974, -8, -24974, -10, 24974, 9, 24974, -5, 124893
-1, 4, -24974, -24972, 24970, 24973, -24974, 24974, -24974, -24973, 24974, 24974, -24974, 24974, -2, -24974, 149844
-1, -24974, 7, -24974, -24974, -2, 3, 24974, 24974, 24974, 24974, -24974, 24974, -6, -24974, 8, 124870
-12488, 24974, 6242, 24974, 24974, -18731, -12487, -24974, -24974, 12489, -6243, 18732, -24973, -24974, 24974, -12486, 137356
33299, -33299, -33298, 16649, -16648, 16650, -33299, -33299, 33299, 33299, -16650, 33299, 33299, -33299, 16651, -16649, 183142
6, 24974, -24974, -4, 6, -7, -7, -2, 24974, -24974, 24974, -8, 24974, 24974, -6, 3, 49972
-24974, -9989, 14984, -24973, -4996, 24973, 9990, -19979, -24973, 24973, 4994, -14985, 24974, -24974, 24974, 14984, 124869
-2, -4, -24974, -4, -24974, 24974, 4, 24974, -24974, 24974, 24974, -24974, -24974, -1, -1, 3, 124877
-24974, -24974, 3, -24974, -24974, 24974, -24974, -7, 24974, -4, 9, 6, -9, -2, 24974, 8, 124881
-19978, 19975, -19974, 1, -19979, 4, -19979, -19979, -19976, -19979, 19972, -3, 19979, -19979, 5, -19979, 159826
1, -11, -11, -24974, -6, 9, 9, -24974, -24974, -15, 24974, -24974, -16, -15, -16, -16, 99985
-3, 33299, 33299, -4, 33299, 3, 33299, 33299, 33299, -1, 33299, -33299, -4, -2, -2, -33299, 66609
24974, 24974, -7, 4, -5, 24974, -2, 6, -24974, -24974, 24974, -8, 8, 1, 24974, 24974, 49961
-33298, -33299, 33299, -33299, -33299, 33299, -33297, 33299, 33299, -2, -33299, 33298, -33299, 33297, -1, -33299, 233093
-3, -24974, -1, 6, -24974, 8, 2, 8, -5, 24974, 7, 24974, 7, -24974, 5, -24974, 99896
24974, 7, 10, -24974, 10, -24974, -16, 1, -16, 8, 24974, 24974, 9, -24974, 24974, -16, 74953
-16651, 33299, 16645, -33299, 16650, -16654, -33299, -16648, 16656, -16653, 33299, 33299, -33299, 33299, -33299, -16654, 183157
-24974, 9, -12, 24974, 2, -9, 13, -24974, -13, 3, 9, -24974, 24974, 13, 24974, -12, 74953
-19978, 19979, 19979, 1, -19978, 4, -4, -19979, 19975, 19979, 19973, 19979, 19977, 19978, 19979, -2, 39962
24974, -4, 24974, -4, -6, -3, -24974, 5, -24974, -24974, -1, 5, 24974, -24974, -24974, 2, 124881
33299, 33299, -3, 33299, 33299, -2, -33299, -33299, 4, 3, -33299, 4, 33299, 1, -33299, 2, 133196
3, 24974, -5, 24974, 24974, -24974, -24974, -24974, 24974, -6, -24974, -24974, 24974, -2, 1, -7, 124882
4, 5, -24974, -3, 8, -8, -11, -11, -24974, 7, -6, 24974, -24974, 11, -6, 8, 74955
-2, -24969, 24971, -24969, -24974, -4, -24974, -3, 24972, -24974, 24970, -24968, 24974, 24972, 24970, -24974, 149837
-7, 12, 24974, 24974, -24974, -24974, 5, 2, 6, 24974, -11, 24974, -12, 24974, 8, -24974, 74938
-24974, 4, -24974, 3, 24974, -24974, 9, 2, 9, -12, 12, 24974, 12, 24974, -24974, 8, 99895
33299, 16647, 33299, -16652, 33299, -16649, -16652, -33299, -33299, 33299, -16648, 16651, 33299, 33299, -16650, 16649, 116550
-24974, 2, 24974, -1, -24974, 3, 3, -3, -3, -2, -3, 24974, 24974, 24974, -24974, -3, 74933
1, 3, -5, -4, -6, 24974, 24974, -24974, -4, -6, 24974, -24974, -24974, 24974, -24974, 2, 99914
-5, -11, -24974, 24974, 24974, -2, -6, -8, -24974, 7, 24974, -10, -8, -24974, 24974, 14, 74957
24974, -24974, -24974, -24972, -1, -1, -24974, -24974, 1, -24974, -24974, -24974, -24974, 24973, -24973, -24974, 249739
24971, 24972, 24973, 24974, -2, -24972, 1, -24970, 24974, 24974, -24974, 24974, -24973, -24973, 3, -24974, 124864
-33299, -33299, 16651, -33299, 16651, -16650, 33299, -16649, 16651, 33299, -33299, -33299, 33299, 33299, 16648, -33299, 199794
19975, 19979, -4, 19979, 19979, 19976, 19970, 19972, 5, -3, 19977, 19979, 19974, -6, 19979, -19979, 13
19977, 4997, 9989, -14984, 24974, 24973, 9990, -24973, -24974, -4996, 14983, 24974, -24974, -9989, 14985, -24974, 104890
24974, 16649, -24974, 24973, -24974, 8327, -8322, 16649, 24974, -8326, -8325, -24974, -24974, 16649, -24974, -16648, 141517
4, -24974, -24974, 7, 1, -7, 3, 6, 24974, -24974, -6, -5, -24974, 24974, 24974, -7, 99911
33299, 33299, -33299, -33299, 33299, -33299, -16651, 16650, 16651, 33299, -33299, 33299, -16650, -16651, -16650, -16648, 183147
4, 1, -6, -24974, 24974, 3, 2, 24974, -24974, 5, 3, -5, 24974, -24974, 6, 6, 74926
8, -3, 24974, 24974, -24974, 4, -2, -4, -24974, 7, -6, -9, 24974, 24974, -9, 24974, 49970
-24974, 24974, 1, 3, -24974, -24974, -4, 6, 2, -5, 24974, 24974, 24974, 6, 24974, -6, 74930
24974, -24974, 24970, -24972, -24973, 24974, -24973, 24974, -24973, -2, 1, -24972, -24974, -4, 24971, 24972, 149843
2, 24974, 24974, -24973, -24974, -24973, -24972, 1, -24974, -24974, -24974, -24974, -24974, 3, -24971, -24974, 249733
-24972, 24974, -24971, 24973, -3, -24974, 24974, -24971, 1, -24972, 24974, 24973, -2, 24974, 24973, -24974, 124865
24974, 5, -24974, 24974, 5, -1, -2, -2, -24974, -5, -24974, -24974, -24974, -4, -5, 24974, 124883
5, -24974, -24974, -1, 4, 24974, -5, 24974, -5, 5, 2, 24974, -24974, 2, -24974, -4, 99905
9, -24974, 6, -2, 9, 9, 4, 4, 24974, -24974, -24974, -1, -8, -8, -9, -24974, 99914
-24974, 2, -24974, 7, 24974, -7, 24974, -6, 5, -3, 7, 7, -24974, -24974, -6, 1, 99910
-8326, -8327, 24974, -24973, 24974, -16649, -8325, 8324, -24974, -16647, -16648, 24974, -24973, 24973, -24973, -24974, 174815
12490, 12490, 3, 24973, 24973, -12484, 24974, 12486, 12488, -1, 24974, 12487, -24972, 24974, 24974, 24974, 12483
12489, 12486, 24974, 24974, 12487, 24974, -12484, -24974, -24974, 12489, -24974, -12488, -12489, -24974, 24974, 12485, 112384
-24973, 4, -24974, 24970, 24971, 24974, -24974, -24972, -24973, 24974, -24974, -24969, 24973, -2, 24973, 1, 149837
1, -17, -20, 21, 17, -20, 21, 21, 19, 35, 12487, 12487, 31, 19, 35, 15, 21
-4, -33299, 3, 33299, -5, -3, -5, 5, -5, 33299, -33299, -33299, -1, 33299, -2, 33299, 99916
24974, 7, -24974, 24974, -10, 24974, -4, -24974, 7, -24974, 1, 7, -24974, -10, 10, 5, 99909
1, -12490, 24973, 12484, -24974, -12490, 24973, 24973, -12487, -24974, 12490, -12486, 24974, 12488, -24973, 24973, 99900
19976, 19978, 19978, 4, -1, 19972, 19979, 19972, -19975, 2, -19977, -19979, -19977, -19975, -19977, -19977, 119859
12488, -24974, 24974, 24974, -12487, -1, -24973, -12488, 12486, -24974, 12488, -12487, -24973, 24974, 24974, -24973, 137356
-33299, 33299, -33299, -16651, 33299, 33299, 16646, -33299, 33299, -33299, 33299, 16647, -16651, 16650, 16649, 16651, 133201
-6, 24974, 9, -6, -24974, -7, -10, 7, -24974, 24974, 6, -7, 10, 3, -2, -9, 49983
-4996, 19980, 19980, -19980, -19980, 4994, 24974, -4995, -9990, 14984, -24974, 19980, 24974, -24974, 14985, 24974, 89908
-8325, -16648, -16649, -24974, 24974, 8327, 24974, -16649, -16652, 16649, -16649, 8326, -24974, -16652, 8322, 24974, 133198
-16648, 8324, -16648, -16651, -24974, -16651, 16651, -24974, -24974, -24974, -24974, 24974, -16650, 8326, 24974, -8323, 191467
-4, -24974, -24973, 1, 24973, -24973, 2, -24972, 24974, -24973, -24974, 24974, 24969, 24973, 24974, 24970, 124869
4, -24974, -6, -6, 3, 24974, -5, -7, -5, -24974, 2, 24974, 7, -24974, -4, -24974, 99920
16652, 16649, -16651, -33299, -16651, -33299, -33299, -33299, 33299, -16647, 16652, 16649, -33299, -33299, 33299, 33299, 216444
24974, -24974, -1, 24974, -9, 4, -7, 10, -5, 6, -24974, -10, 2, 10, -24974, -24974, 99917
-24974, -12485, 12484, -12489, 24973, 24974, 12488, 24974, 12486, 24974, -24971, -3, 24970, 12490, -24970, 24974, 74918
33299, -16651, -33299, 33299, 33299, 33299, -16649, 16650, -33299, -16651, 16648, -16651, 33299, -16649, -33299, -33299, 183148
-24974, 2, -24974, 24974, -3, 4, 24974, 1, 24974, 24974, -4, 24974, 4, -24974, 2, 3, 74924
-8, -9, -24974, -5, 24974, 24974, -24974, 24974, -10, 24974, -24974, 3, 4, 24974, -9, -5, 74955
16649, 33299, 16651, -16651, -33299, -33299, 33299, 16650, -33299, -16651, -33299, -33299, 16650, -16650, -16648, 16651, 199796
-10, -24974, -7, 1, -24974, 10, -24974, 4, -6, -24974, 24974, -10, -5, 24974, 24974, 6, 99923
-33299, -16647, -33299, 16649, -16650, -33299, 16650, -33299, 16649, -33299, 16651, -33299, 16649, 33299, 33299, -16650, 216444
-5, 24974, 6, -6, 24974, 24974, -24974, -24974, -4, -2, -24974, 6, -24974, -1, -3, 24974, 99910
5, 24974, -7, -4, 6, 24974, 2, -6, -24974, 4, -6, 7, 1, -5, -7, -24974, 49975
6, -4, 6, -3, -6, -24974, -5, -24974, 6, -4, 24974, -24974, 24974, 24974, -3, -2, 74941
-6245, -24974, -24974, 6243, -18730, 24973, 18730, 24974, 24974, 24974, -12487, -24973, 12488, -24973, 12486, 12487, 112382
33298, 33299, 33299, -33297, 33298, 33299, 2, 33299, -33299, -33299, 1, -33299, 33299, -33299, -33299, 33299, 166493
6, 10, -24974, 10, 24974, -9, 24974, -10, -24974, -8, -7, -24974, 5, -10, 4, 24974, 74952
24974, 24974, -3, 24974, 24974, -7, 6, -24974, -1, -24974, -24974, 7, -4, 2, 7, -4, 74933
-1, -24974, -24974, 2, 5, -5, -5, 24974, -5, -4, -2, -4, -24974, -5, -24974, -24974, 124895
24974, 24974, -9, -4, -24974, -24974, 7, 7, -6, 5, -24974, 3, 2, -24974, -24974, -24974, 149853
-6, -24974, -3, -11, -24974, 24974, -24974, 11, 9, -24974, -2, -7, 24974, 11, 10, -24974, 124886
-10, -10, -24974, 24974, -1, 10, 5, -24974, -9, -24974, 4, -24974, 24974, 24974, -10, -10, 99935
12483, -24972, 24974, 24973, 1, 24974, 24973, -12486, -12488, -24973, 24974, 24974, -12485, -24974, 12489, 24973, 87404
-24974, -7, 24974, -24974, 24974, -24974, 10, 1, 10, -7, -4, -4, -10, 24974, -24974, -6, 99923
24974, 24974, 24974, 6244, 24973, -6245, 24973, -12488, 24974, -24974, 24974, -18730, 6242, -12487, 12487, 18732, 49950
24974, -10, 11, 11, -4, -24974, -11, -5, 11, -24974, -8, 12, 9, -10, 24974, 3, 49982
24974, 24974, 24974, 6, -8, -7, 10, -7, -5, -24974, 24974, -4, 24974, 3, 6, -10, 25003
16650, 33299, 33299, 33298, -16651, -33299, -33298, 16651, 33299, -33299, -33299, -33299, -16650, 33299, 16648, -33299, 199795
-24974, -24974, -8, 24974, 24974, 1, 24974, -6, 24974, 24974, 24974, 24974, -8, -5, -4, 3, 49970
-33299, 16649, 16651, -16651, -16651, -33299, -33299, -33299, -16651, 33299, -33299, 16649, -33299, -33299, -16650, -16648, 283045
12487, 12487, 24974, 24974, -24974, -12485, 24974, -12489, -12487, -24973, -24973, 24974, 12488, -24974, 1, -24974, 137355
